		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101011100   26   28   24   36   22   20   24   22  7.681138 0.465221 SUCCESS  87
101100000   25   25   25   22   24   23   19   27  1.900730 0.983905 SUCCESS  88
101100100   28   24   22   19   26   22   30   18  5.450928 0.708471 SUCCESS  89
101101000   27   18   27   21   24   29   14   23  8.364963 0.398655 SUCCESS  90
101101100   24   25   31   27   37   23   19   28 10.750076 0.216266 SUCCESS  91
101110000   25   29   17   32   32   21   21   28  9.655824 0.290018 SUCCESS  92
101110100   24   25   31   21   22   19   27   16  7.111173 0.524687 SUCCESS  93
101111000   34   27   21   24   20   20   38   27 14.452529 0.070707 SUCCESS  94
101111100   23   23   25   16   14   23   27   24  8.126650 0.421197 SUCCESS  95
110000000   23   23   26   27   31   28   19   32  6.639844 0.575941 SUCCESS  96
110000010   28   26   15   24   23   22   18   26  6.576955 0.582885 SUCCESS  97
110000100   41   14   25   26   34   25   26   31 22.257933 0.004460 FAILURE  98
110001000   27   21   21   25   28   29   27   14  7.595080 0.473988 SUCCESS  99
110001010   29   25   18   25   31   29   24   26  5.521098 0.700701 SUCCESS 100
110010000   25   15   27   28   32   26   20   29  8.867406 0.353605 SUCCESS 101
110010010   25   27   18   23   22   24   26   18  4.213026 0.837410 SUCCESS 102
110010100   24   23   27   28   17   23   26   15  7.178695 0.517481 SUCCESS 103
110011000   22   25   26   26   28   25   17   26  3.468960 0.901585 SUCCESS 104
110011010   15   21   29   26   19   21   22   31  9.051436 0.337975 SUCCESS 105
110100000   21   19   28   17   29   21   23   23  6.144683 0.631029 SUCCESS 106
110100010   22   29   22   24   24   15   20   25  5.975216 0.650008 SUCCESS 107
110100100   29   28   26   21   22   26   27   28  3.233296 0.918875 SUCCESS 108
110101000   23   34   18   21   22   20   26   18  9.118958 0.332360 SUCCESS 109
110101010   16   20   26   38   25   18   31   24 15.357456 0.052556 SUCCESS 110
110101100   24   21   23   20   24   25   17   34  7.645391 0.468853 SUCCESS 111
110110000   25   29   24   23   25   27   23   19  2.621626 0.955818 SUCCESS 112
110110010   24   22   24   24   26   20   26   21  1.790180 0.986782 SUCCESS 113
110110100   24   22   20   22   19   34   24   23  6.543856 0.586547 SUCCESS 114
110111000   20   23   18   24   32   26   27   28  6.036780 0.643112 SUCCESS 115
110111010   29   18   22   23   26   18   33   22  8.179609 0.416125 SUCCESS 116
110111100   30   20   37   25   23   22   37   24 15.953237 0.043054 SUCCESS 117
111000000   24   26   27   39   26   26   24   22  9.902742 0.271919 SUCCESS 118
111000010   30   22   22   22   29   27   25   28  3.809218 0.873913 SUCCESS 119
111000100   24   21   22   22   32   19   28   16  8.204102 0.413791 SUCCESS 120
111000110   23   23   12   22   13   30   24   27 14.049383 0.080487 SUCCESS 121
111001000   29   16   30   26   23   28   18   33 10.824880 0.211821 SUCCESS 122
111001010   20   24   36   23   24   20   24   24  7.451431 0.488799 SUCCESS 123
