		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010101111   25   25   26   24   24   29   22   19  2.528287 0.960399 SUCCESS  63
010110011   30   21   16   24   20   26   27   16  9.017013 0.340863 SUCCESS  64
010110111   26   36   28   23   26   26   24   32  9.115648 0.332634 SUCCESS  65
010111011   20   26   37   29   23   24   20   32 11.910527 0.155241 SUCCESS  66
010111111   20   25   20   22   26   21   26   15  6.347248 0.608396 SUCCESS  67
011000111   24   17   22   16   29   20   27   25  7.576545 0.475887 SUCCESS  68
011001111   20   22   18   27   20   24   30   28  5.789861 0.670757 SUCCESS  69
011010111   19   21   33   27   17   20   32   21 11.221406 0.189467 SUCCESS  70
011011111   22   27   22   32   18   27   33   27  8.664840 0.371353 SUCCESS  71
011101111   23   23   33   24   30   31   28   32  9.480399 0.303403 SUCCESS  72
011111111   25   25   21   29   30   26   31   30  6.030822 0.643779 SUCCESS  73
100000000   26   30   19   14   31   17   27   28 12.255418 0.140166 SUCCESS  74
100010000   25   30   21   17   27   21   36   28 11.181025 0.191652 SUCCESS  75
100100000   27   30   22   21   34   23   27   16  9.612795 0.293261 SUCCESS  76
100101000   34   19   26   18   24   18   32   20 11.992612 0.151534 SUCCESS  77
100110000   36   27   30   30   21   32   23   28 12.217685 0.141752 SUCCESS  78
100111000   19   27   17   18   27   26   19   28  7.754618 0.457800 SUCCESS  79
101000000   23   25   20   25   16   28   20   26  5.399293 0.714170 SUCCESS  80
101000100   28   29   26   20   28   21   25   33  6.563716 0.584349 SUCCESS  81
101001000   26   27   18   33   21   21   25   27  6.545180 0.586401 SUCCESS  82
101001100   31   18   31   25   26   30   20   20  8.519866 0.384401 SUCCESS  83
101010000   27   23   27   24   20   28   17   22  4.594988 0.799856 SUCCESS  84
101010100   35   19   24   24   25   33   24   28  9.716064 0.285523 SUCCESS  85
101011000   22   20   17   22   25   24   25   25  3.678808 0.884878 SUCCESS  86
101011100   31   23   22   26   24   22   31   20  5.198052 0.736214 SUCCESS  87
101100000   27   29   23   30   28   25   26   19  4.504297 0.809003 SUCCESS  88
101100100   27   29   30   24   32   21   22   25  5.716382 0.678967 SUCCESS  89
101101000   26   25   14   35   25   20   26   20 11.230011 0.189004 SUCCESS  90
101101100   25   24   26   26   22   21   25   25  1.003086 0.998229 SUCCESS  91
101110000   27   24   20   21   24   26   24   15  5.466815 0.706714 SUCCESS  92
101110100   17   22   35   31   23   24   22   23  9.586978 0.295219 SUCCESS  93
101111000   14   20   24   22   23   14   26   28 10.973163 0.203224 SUCCESS  94
101111100   19   16   18   35   23   26   20   25 11.745694 0.162916 SUCCESS  95
110000000   28   31   15   18   28   27   31   22 10.799063 0.213347 SUCCESS  96
110000010   25   23   33   27   25   30   20   20  6.503476 0.591022 SUCCESS  97
110000100   18   17   33   21   18   25   27   26  9.822642 0.277695 SUCCESS  98
110001000   23   28   22   16   27   19   32   22  8.077664 0.425921 SUCCESS  99
110001010   24   12   30   32   32   20   24   37 20.299135 0.009262 FAILURE 100
110010000   29   25   29   28   27   24   19   23  3.970079 0.859813 SUCCESS 101
110010010   29   31   22   16   32   26   21   28  9.571090 0.296429 SUCCESS 102
110010100   28   19   21   26   22   21   29   18  5.746833 0.675566 SUCCESS 103
110011000   34   27   32   26   27   32   30   25 10.828852 0.211587 SUCCESS 104
110011010   27   25   29   23   25   24   27   21  2.080127 0.978456 SUCCESS 105
110100000   20   27   17   31   20   23   23   25  6.272445 0.616743 SUCCESS 106
110100010   23   32   24   21   30   14   28   29 10.384001 0.239101 SUCCESS 107
110100100   33   21   21   30   22   30   21   29  8.402034 0.395215 SUCCESS 108
110101000   17   27   25   27   25   30   19   27  5.773974 0.672533 SUCCESS 109
110101010   25   16   27   21   22   34   28   23  8.561571 0.380619 SUCCESS 110
110101100   22   15   16   22   30   21   24   19 10.278085 0.246048 SUCCESS 111
110110000   23   32   28   20   24   25   30   25  5.266897 0.728706 SUCCESS 112
110110010   26   30   24   25   21   26   25   29  2.970490 0.936196 SUCCESS 113
110110100   22   24   24   25   24   29   15   29  5.815679 0.667870 SUCCESS 114
110111000   18   27   30   22   21   24   33   23  7.307781 0.503819 SUCCESS 115
110111010   17   22   29   30   27   24   17   21  7.890985 0.444191 SUCCESS 116
110111100   19   21   19   28   22   18   36   22 11.432577 0.178372 SUCCESS 117
111000000   23   21   22   17   20   27   22   19  5.719692 0.678597 SUCCESS 118
111000010   24   19   22   22   33   30   21   21  7.171413 0.518257 SUCCESS 119
111000100   14   21   23   20   29   18   30   20 10.753386 0.216068 SUCCESS 120
111000110   13   25   22   19   25   26   25   30  8.466908 0.389239 SUCCESS 121
111001000   24   29   25   30   28   26   18   18  6.375714 0.605224 SUCCESS 122
111001010   27   23   21   28   22   17   21   23  4.543354 0.805080 SUCCESS 123
111001100   37   32   29   22   26   30   32   18 15.937350 0.043286 SUCCESS 124
111010000   22   29   25   27   20   19   20   25  4.332182 0.825979 SUCCESS 125
111010010   37   26   22   29   23   29   24   22  9.207663 0.325082 SUCCESS 126
111010100   21   27   28   28   27   27   20   20  4.087911 0.849106 SUCCESS 127
111010110   26   20   14   23   24   27   28   30  7.764547 0.456801 SUCCESS 128
111011000   28   22   38   17   26   26   28   30 13.046484 0.110260 SUCCESS 129
111011010   26   15   15   33   19   22   24   23 12.295799 0.138486 SUCCESS 130
